cod_justificativa,descricao_justificativa,categoria_justificativa
AA,ATRASO AEROPORTO DE ALTERNATIVA – ORDEM TÉCNICA,ATRASO
AF,FACILIDADES DO AEROPORTO - RESTRIÇÕES DE APOIO,ATRASO
AG,MIGRAÇÃO/ALFÂNDEGA/SAÚDE,ATRASO
AI,AEROPORTO DE ORIGEM INTERDITADO,ATRASO
AJ,AEROPORTO DE DESTINO INTERDITADO,ATRASO
AM,ATRASO AEROPORTO DE ALTERNATIVA – CONDIÇÕES METEOROLÓGICAS,ATRASO
AS,SEGURANÇA/PAX/CARGA/ALARME,ATRASO
AR,AEROPORTO COM RESTRIÇÕES OPERACIONAIS,ATRASO
AT,LIBERAÇÃO SERV. TRAFEGO AÉREO/ANTECIPAÇÃO,ATRASO
DF,AVARIA DURANTE OPERAÇÕES EM VÔO,ATRASO
DG,AVARIA DURANTE OPERAÇÕES EM SOLO,ATRASO
FP,PLANO DE VÔO - APROVAÇÃO,ATRASO
GF,ABASTECIMENTO/DESTANQUEIO,ATRASO
MA,FALHA EQUIPO AUTOMOTIVO E DE ATENDIMENTO DE PAX,ATRASO
MX,ATRASOS NÃO ESPECÍFICOS – OUTROS,ATRASO
OA,AUTORIZADO,ATRASO
RA,CONEXÃO DE AERONAVE,ATRASO
RI,CONEXÃO AERONAVE/VOLTA – VÔO DE IDA NÃO PENALIZADO AEROPORTO INTERDITADO,ATRASO
RM,CONEXÃO AERONAVE/VOLTA – VÔO DE IDA NÃO PENALIZADO CONDIÇÕES METEOROLÓGICAS,ATRASO
TC,TROCA DE AERONAVE,ATRASO
TD,DEFEITOS DA AERONAVE,ATRASO
WA,ALTERNATIVA ABAIXO DOS LIMITES,ATRASO
WI,DEGELO E REMOÇÃO DE NEVE E/OU LAMA EM AERONAVE,ATRASO
WR,ATRASO DEVIDO RETORNO – CONDIÇÕES METEOROLÓGICAS,ATRASO
WO,AEROPORTO ORIGEM ABAIXO DOS LIMITES,ATRASO
WP,ATRASO DEVIDO RETORNO – ORDEM TÉCNICA,ATRASO
WT,AEROPORTO DESTINO ABAIXO DOS LIMITES,ATRASO
WS,REMOÇÃO GELO/ÁGUA/LAMA/AREIA-EM AEROPORTO,ATRASO
XA,PROGRAMADO – FERIADO NACIONAL,CANCELAMENTO_VOO_OU_ESCALA
XB,AUTORIZADO,CANCELAMENTO_VOO_OU_ESCALA
XI,DEVIDO AEROPORTO DE ORIGEM INTERDITADO,CANCELAMENTO_VOO_OU_ESCALA
XJ,DEVIDO AEROPORTO DE DESTINO INTERDITADO,CANCELAMENTO_VOO_OU_ESCALA
XL,FALTA PAX COM PASSAGEM MARCADA – ( APENAS PARA AS LINHAS AÉREAS DOMÉSTICAS REGIONAIS),CANCELAMENTO_VOO_OU_ESCALA
XM,CANCELAMENTO – CONEXÃO AERONAVE/VOLTA – VÔO DE IDA CANCELADO – AEROPORTO INTERDITADO,CANCELAMENTO_VOO_OU_ESCALA
XN,CANCELAMENTO POR MOTIVOS TÉCNICOS – OPERACIONAIS,CANCELAMENTO_VOO_OU_ESCALA
XO,CANCELAMENTO – AEROPORTO ORIGEM ABAIXO LIMITES,CANCELAMENTO_VOO_OU_ESCALA
XT,CANCELAMENTO – AEROPORTO DESTINO ABAIXO LIMITES,CANCELAMENTO_VOO_OU_ESCALA
XR,CANCELAMENTO DE VÔOS OPERADOS EM “CODE SHARING”,CANCELAMENTO_VOO_OU_ESCALA
XS,CANCELAMENTO – CONEXÃO AERONAVE/VOLTA – VÔO DE IDA CANCELADO – CONDIÇÕES METEOROLÓGICAS,CANCELAMENTO_VOO_OU_ESCALA
ST,INCLUSÃO DE ETAPA DEVIDO CANCELAMENTO DE ESCALAS PREVISTAS – ( EXCLUSIVO PARA LINHAS SUPLEMENTADAS),ALTERACOES_VOOS_ESCALAS
IR,INCLUSÃO DE ETAPA (AEROPORTO DE ALTERNATIVA) DEVIDO A UM VÔO ESPECIAL RETORNO,ALTERACOES_VOOS_ESCALAS
VR,VÔO ESPECIAL DE RETORNO (EXCLUSIVO PARA RETORNO AO AEROPORTO DE ORIGEM),ALTERACOES_VOOS_ESCALAS
VE,ESPECÍFICO PARA VÔO ESPECIAL DE EXPERIÊNCIA,ALTERACOES_VOOS_ESCALAS
VI,ESPECÍFICO PARA VÔO ESPECIAL DE INSTRUÇÃO,ALTERACOES_VOOS_ESCALAS
HA,AUTORIZADA,ALTERACOES_HORARIO
HB,OPERAÇÃO DE VÔO COM MAIS DE 04 HORAS DE ATRASO PANE AERONAVE,ALTERACOES_HORARIO
HC,OPERAÇÃO DE VÔO COM MAIS DE 04 HORAS DE ATRASO AEROPORTO INTERDITADO,ALTERACOES_HORARIO
HD,ANTECIPAÇÃO DE HORÁRIO AUTORIZADA,ALTERACOES_HORARIO
HI,ANTECIPAÇÃO DE HORÁRIO AUTORIZADA – ESPECÍFICO VÔOS INTERNACIONAIS,ALTERACOES_HORARIO
